40.5744,-0.754699,-1.62843
41.3035,-0.645249,-0.469316
40.8039,0.555277,-2.22408
39.0785,0.467407,-2.25727
41.0238,-0.65377,-1.67252
41.2894,-0.467885,-3.03581
41.2932,-0.399313,-2.63249
40.198,-0.491862,-3.21113
42.0887,-0.471392,-5.96636
49.875,-0.74404,-0.146642
47.5044,-0.639757,0.633951
46.3916,0.882366,-0.995106
46.0996,0.814126,0.11899
49.6097,-0.363661,-0.340446
46.8408,-0.32171,-0.129119
47.141,-0.0361943,-1.79827
45.7244,-0.00343812,-1.05817
49.792,0.29753,-6.03199
47.6489,0.374293,-5.27006
49.3835,1.59226,-5.44389
51.4263,1.42693,-5.21718
49.2564,0.49835,-5.2628
47.3325,0.540363,-4.2313
50.8435,0.495535,-4.69755
49.6718,0.526904,-4.04296
56.6638,-1.06689,0.625458
54.3404,-1.0933,1.45494
50.5659,0.453588,0.725638
52.9087,0.309231,0.923183
57.9544,-0.826779,1.21656
55.3075,-0.88247,0.975524
51.8333,-0.478577,-0.791079
50.6651,-0.472628,-0.10619
55.5832,-0.121286,-5.29541
53.5306,-0.0806134,-4.43575
55.2251,1.1635,-4.69054
57.2073,1.10437,-4.57577
55.1582,0.0666159,-4.50385
53.4389,0.072597,-3.42332
56.7838,0.143066,-4.02111
55.7388,0.123003,-3.31139
59.0548,-0.95357,1.00211
61.3009,-0.711381,1.82468
57.4364,0.20788,1.43573
59.991,0.348834,1.53368
61.3146,-0.468755,0.511681
62.8689,-0.425306,-0.860184
60.4622,-0.450569,-0.448624
59.4718,-0.566882,0.455944
60.9142,-0.0186334,-4.96028
59.3825,-0.203591,-3.9276
60.583,1.22493,-4.3298
60.5288,1.27173,-5.60803
60.7402,0.144122,-4.13562
59.5014,-0.0179725,-2.8713
60.3817,0.236711,-3.54004
61.085,0.36527,-4.33523
69.9783,-0.186894,0.551296
68.2022,-0.19787,1.64244
64.6979,1.05923,1.42251
66.7856,1.11716,1.3307
70.7059,0.0680913,-0.212863
69.3476,0.0491375,1.04604
